,No.,Symbol,Company Name,Market Cap,Stock Price,Revenue,Asset Turnover,Ent. Value,PE Ratio,Div. Yield,Div. Growth,Op. Income,Net Income,EPS,EBIT,EBITDA,Operating CF,Investing CF,Financing CF,Net CF,Income Tax,Total Debt,Debt Growth (YoY),Assets,Liabilities,PB Ratio,EV/EBITDA,Beta (1Y),ATR,Short Ratio
235,236,IR,Ingersoll Rand Inc.,37704754720,93.46,6916900000.0,0.45,38970754720.0,46.5,0.09%,0,1217200000.0,819800000.0,2.01,1220700000.0,1683000000.0,1368700000.0,-684600000.0,-327800000.0,333000000.0,246300000.0,2718300000.0,-0.0089,15529000000.0,5609300000.0,3.83,23.16,1.41,1.8,2.61
236,237,ODFL,"Old Dominion Freight Line, Inc.",37657663350,173.31,5884089000.0,1.1,37156669350.0,30.51,0.60%,31.43%,1644050000.0,1246768000.0,5.68,1656810000.0,2008507000.0,1577661000.0,-577897000.0,-626414000.0,373350000.0,409741000.0,79980000.0,-0.1999,5651356000.0,1249719000.0,8.56,18.5,1.08,5.09,2.51
237,238,GIS,"General Mills, Inc.",37644127320,66.68,20173300000.0,0.65,49569527320.0,15.29,3.54%,9.26%,3470700000.0,2554000000.0,4.36,3614300000.0,4162100000.0,3190500000.0,-847900000.0,-2376100000.0,-30100000.0,599200000.0,12514000000.0,0.08,30860500000.0,21169200000.0,3.99,11.91,0.14,1.21,3.83
238,239,PEG,Public Service Enterprise Group Incorporated,37126883200,74.54,10242000000.0,0.2,57897883200.0,20.65,3.22%,5.41%,2722000000.0,1808000000.0,3.61,2898000000.0,4046000000.0,2630000000.0,-3029000000.0,369000000.0,-30000000.0,317000000.0,21957000000.0,0.07719999999999999,52388000000.0,36670000000.0,2.36,14.31,0.57,1.1,2.62
239,240,FAST,Fastenal Company,37078143720,64.76,7382700000.0,1.63,37324443720.0,31.9,2.41%,12.49%,1525600000.0,1157600000.0,2.03,1530900000.0,1706600000.0,1379800000.0,-178600000.0,-1200200000.0,-2700000.0,364400000.0,483400000.0,-0.2541,4532700000.0,1103500000.0,10.81,21.87,1.06,1.04,3.88
240,241,MPWR,"Monolithic Power Systems, Inc.",36970277760,759.58,1827892000.0,0.77,35683888760.0,90.53,0.66%,30.77%,452947000.0,410113000.0,8.39,481295000.0,519727000.0,667457000.0,-457055000.0,-201474000.0,-697000.0,71182000.0,8726541430.15836,0.02487364199416633,2578701000.0,465144000.0,17.49,68.66,1.22,23.72,1.82
241,242,VST,Vistra Corp.,36900252000,106.2,13407000000.0,0.4,52416252000.0,65.15,0.82%,9.38%,1613000000.0,598000000.0,1.63,1772000000.0,3806000000.0,4330000000.0,-5160000000.0,1373000000.0,2966000000.0,310000000.0,16632000000.0,0.3178,38178000000.0,30894000000.0,6.52,13.77,1.03,4.71,1.19
242,243,KVUE,Kenvue Inc.,36860182975,19.25,15486000000.0,0.56,44183590387.0,24.68,4.16%,0,2422000000.0,1491000000.0,0.78,2352000000.0,2976000000.0,2653000000.0,-599000000.0,-10241000000.0,-8231000000.0,517000000.0,8555000000.0,0.11449999999999999,27283000000.0,16662000000.0,3.46,14.85,0.3953168564437884,0.45,1.88
243,244,EXC,Exelon Corporation,36781103400,36.78,22208000000.0,0.22,80942103400.0,15.85,4.13%,31.90%,4021000000.0,2318000000.0,2.32,4405000000.0,7931000000.0,5211000000.0,-7271000000.0,2285000000.0,225000000.0,303000000.0,45370000000.0,0.0858,103211000000.0,77150000000.0,1.41,10.21,0.6,0.63,2.19
244,245,SYY,Sysco Corporation,36088755540,72.47,78016112000.0,3.27,48610854540.0,17.68,2.82%,2.03%,3195068000.0,2077058000.0,4.1,3296975000.0,4265290000.0,2815013000.0,-2003908000.0,-972664000.0,-161835000.0,642421000.0,13120421000.0,0.12050000000000001,24712340000.0,22611387000.0,17.18,11.4,1.16,1.29,2.71
245,246,GEHC,GE HealthCare Technologies Inc.,35946647100,78.75,19495000000.0,0.6,42638647100.0,22.96,0.15%,0,2415000000.0,1570000000.0,3.43,2802000000.0,3403000000.0,2052000000.0,-480000000.0,-1304000000.0,231000000.0,704000000.0,9255000000.0,-0.09609999999999999,32208000000.0,24609000000.0,4.85,12.53,0.3855193974729916,1.85,3.56
246,247,LULU,Lululemon Athletica Inc.,35665314250,295.25,9619278000.0,1.56,34824625250.0,24.2,0,0,2132676000.0,1550190000.0,12.2,2175735000.0,2555119000.0,2296164000.0,-654132000.0,-548828000.0,1089104000.0,625545000.0,1403282000.0,0.3111,7091941000.0,2859860000.0,8.43,13.63,1.3,9.47,1.72
247,248,VRSK,"Verisk Analytics, Inc.",35507527250,248.87,2733800000.0,0.62,38255627250.0,46.52,0.63%,12.31%,1145000000.0,777900000.0,5.35,1138300000.0,1433300000.0,1067600000.0,-300500000.0,-624000000.0,120500000.0,242400000.0,3100500000.0,0.006500000000000001,4498600000.0,4210800000.0,125.82,26.69,0.79,3.94,2.6
248,249,FANG,"Diamondback Energy, Inc.",35269309440,197.76,8714000000.0,0.31,40999309440.0,11.15,4.68%,1.87%,4663000000.0,3199000000.0,17.73,4302000000.0,6114000000.0,5829000000.0,-2795000000.0,-2188000000.0,846000000.0,928000000.0,6629000000.0,-0.047599999999999996,29690000000.0,11671000000.0,2.08,6.71,1.9,3.81,3.32
249,250,EA,Electronic Arts Inc.,35175346950,132.05,7562000000.0,0.57,33795346950.0,28.22,0.58%,0,1518000000.0,1273000000.0,4.68,1589000000.0,1993000000.0,2315000000.0,-207000000.0,-1624000000.0,476000000.0,316000000.0,1882000000.0,0.0011,13420000000.0,5907000000.0,4.68,16.96,0.78,2.51,2.82
250,251,MLM,"Martin Marietta Materials, Inc.",35154638864,570.32,6674100000.0,0.43,37247638864.0,16.85,0.52%,12.12%,2821000000.0,2092500000.0,33.85,2880600000.0,3400200000.0,1539900000.0,2036100000.0,-1155200000.0,2420800000.0,624900000.0,4743000000.0,-0.12689999999999999,16240000000.0,7363000000.0,3.96,10.95,0.95,12.47,2.02
251,252,HWM,Howmet Aerospace Inc.,34809846240,85.28,6861000000.0,0.67,37968846240.0,41.4,0.23%,35.71%,1287000000.0,860000000.0,2.06,1268000000.0,1538000000.0,1055000000.0,-226000000.0,-832000000.0,-4000000.0,198000000.0,3692000000.0,-0.0742,10410000000.0,6324000000.0,8.52,24.69,1.25,1.73,2.37
252,253,NDAQ,"Nasdaq, Inc.",34707286600,60.2,6205000000.0,0.22,44527286600.0,32.02,1.60%,9.76%,1576000000.0,992000000.0,1.88,1675000000.0,2084000000.0,1661000000.0,-6093000000.0,2958000000.0,-1612000000.0,328000000.0,10402000000.0,0.8739,30267000000.0,19448000000.0,3.21,21.37,0.94,1.1,1.69
253,254,DD,"DuPont de Nemours, Inc.",34322157360,82.09,11981000000.0,0.31,39751157360.0,97.73,1.78%,8.15%,764000000.0,355000000.0,0.84,724000000.0,1885000000.0,2037000000.0,196000000.0,-3467000000.0,-1289000000.0,-28000000.0,7776000000.0,-0.0408,37717000000.0,13705000000.0,1.46,21.09,1.28,1.46,1.97
254,255,FICO,Fair Isaac Corporation,34227808917,1385.13,1604289000.0,0.99,36156351917.0,72.67,0,0,688930000.0,481046000.0,19.06,700680000.0,727069000.0,479826000.0,-16107000.0,-464978000.0,-2104000.0,120530000.0,2064210000.0,0.0567,1703117000.0,2438777000.0,3.596279748446505,49.73,1.24,38.47,3.31
255,256,XYL,Xylem Inc.,34029860920,140.36,7949000000.0,0.5,35352860920.0,48.91,1.03%,9.52%,730000000.0,663000000.0,2.87,759000000.0,1269000000.0,945000000.0,-642000000.0,-176000000.0,110000000.0,42000000.0,2270000000.0,0.20679999999999998,15924000000.0,5721000000.0,3.34,27.86,1.08,2.3,3.41
256,257,CSGP,"CoStar Group, Inc.",33998554920,83.26,2527034000.0,0.28,30156854920.0,114.05,0,0,167279000.0,294269000.0,0.73,226398000.0,373102000.0,505884000.0,-599270000.0,-10300000.0,-104076000.0,102181000.0,1109900000.0,0.0111,9034500000.0,1691900000.0,4.63,80.83,0.84,2.09,4.32
257,258,IT,"Gartner, Inc.",33745978350,434.7,5971013000.0,0.79,35458236350.0,43.25,0,0,1102822000.0,797228000.0,10.05,1150009000.0,1412379000.0,1179894000.0,-108114000.0,-707270000.0,364510000.0,228181000.0,2948059000.0,-0.0292,7709810000.0,6991636000.0,46.99,25.11,1.32,9.19,2.77
258,259,VMC,Vulcan Materials Company,33589362960,253.98,7678700000.0,0.54,37128662960.0,37.08,0.72%,7.23%,1441300000.0,915200000.0,6.85,1413200000.0,2085900000.0,1488900000.0,-265600000.0,-1063200000.0,160100000.0,311700000.0,3839400000.0,-0.132,13910900000.0,6394300000.0,4.48,17.8,0.83,5.18,3.11
259,260,LVS,Las Vegas Sands Corp.,33325952310,44.73,11211000000.0,0.51,42202952310.0,21.5,1.79%,0,2668000000.0,1568000000.0,2.08,2661000000.0,3915000000.0,3500000000.0,-1272000000.0,-3791000000.0,-1576000000.0,311000000.0,13957000000.0,-0.12710000000000002,21245000000.0,17220000000.0,8.43,10.78,1.18,1.0,1.47
260,261,CTSH,Cognizant Technology Solutions Corporation,33242725140,66.86,19301000000.0,1.06,32276725140.0,16.03,1.80%,5.36%,2682000000.0,2092000000.0,4.17,2824000000.0,3380000000.0,1696000000.0,-354000000.0,-1563000000.0,-227000000.0,689000000.0,1277000000.0,-0.15259999999999999,18408000000.0,4918000000.0,2.46,9.55,1.08,1.2,4.13
261,262,DAL,"Delta Air Lines, Inc.",32446337640,50.28,59037000000.0,0.8,54289337640.0,6.45,0.80%,200.00%,6411000000.0,5009000000.0,7.79,7046000000.0,9387000000.0,6637000000.0,-2685000000.0,-3002000000.0,950000000.0,1226000000.0,26309000000.0,-0.11,74969000000.0,63818000000.0,2.91,5.78,1.39,1.11,2.1
262,263,HPQ,HP Inc.,32426860340,33.14,53111000000.0,1.46,39669860340.0,9.69,3.33%,4.99%,3663000000.0,3428000000.0,3.42,3663000000.0,4509000000.0,3708000000.0,-383000000.0,-2677000000.0,648000000.0,-245000000.0,9660000000.0,-0.10210000000000001,35846000000.0,37486000000.0,3.4070559827311997,8.8,1.07,0.6,3.39
263,264,BKR,Baker Hughes Company,32345115180,32.41,26209000000.0,0.71,35634115180.0,18.11,2.59%,9.33%,2532000000.0,1823000000.0,1.79,2700000000.0,3801000000.0,3385000000.0,-857000000.0,-2205000000.0,302000000.0,684000000.0,6006000000.0,-0.0981,37141000000.0,21591000000.0,2.1,9.37,1.43,0.67,3.55
264,265,HAL,Halliburton Company,32331192520,36.52,23145000000.0,0.95,39227192520.0,12.68,1.86%,17.86%,4093000000.0,2593000000.0,2.88,3706000000.0,4726000000.0,3823000000.0,-1745000000.0,-1844000000.0,12000000.0,705000000.0,8787000000.0,-0.0202,24654000000.0,14972000000.0,3.36,8.3,2.02,0.83,4.27
265,266,ED,"Consolidated Edison, Inc.",32235280350,93.21,14540000000.0,0.22,57090280350.0,17.86,3.56%,2.50%,2468000000.0,1806000000.0,5.22,3283000000.0,5354000000.0,2637000000.0,-4965000000.0,1729000000.0,-599000000.0,428000000.0,25024000000.0,0.12279999999999999,66680000000.0,45065000000.0,1.49,10.66,0.34,1.47,3.39
266,267,LYB,LyondellBasell Industries N.V.,32142147620,98.71,40785000000.0,1.11,42385147620.0,15.26,5.43%,5.60%,3044000000.0,2113000000.0,6.47,3064000000.0,4567000000.0,4346000000.0,-1916000000.0,-1885000000.0,527000000.0,456000000.0,12574000000.0,-0.024,36624000000.0,23631000000.0,2.48,9.28,1.19,1.63,1.99
267,268,BIIB,Biogen Inc.,31846431810,218.73,9663100000.0,0.36,37718631810.0,27.31,0,0,1323300000.0,1166600000.0,8.01,1322600000.0,1852600000.0,1645100000.0,-3214000000.0,-246900000.0,-1815800000.0,156000000.0,6946600000.0,0.051,26567600000.0,11354600000.0,2.09,20.36,-0.01,5.33,2.6
268,269,ON,ON Semiconductor Corporation,31686586800,73.65,8156000000.0,0.62,32432686800.0,15.03,0,0,2499000000.0,2175900000.0,4.9,2590000000.0,3209400000.0,2067300000.0,-1411200000.0,-753900000.0,-99900000.0,351000000.0,3360500000.0,-0.0398,13482900000.0,5340300000.0,3.9,10.11,1.78,2.58,2.64
269,270,DG,Dollar General Corporation,31252593170,142.27,38691609000.0,1.27,48806076170.0,18.84,1.66%,5.36%,2446300000.0,1661274000.0,7.55,2446300000.0,3295093000.0,2391798000.0,-1694023000.0,-542068000.0,155707000.0,458245000.0,18090766000.0,0.024300000000000002,30795591000.0,24046472000.0,4.63,14.81,0.44,4.39,3.23
270,271,GRMN,Garmin Ltd.,31193467200,162.4,5462476000.0,0.66,29102965200.0,22.94,1.85%,2.74%,1193588000.0,1363270000.0,7.08,1305624000.0,1484606000.0,1532360000.0,-361948000.0,-600419000.0,560153000.0,-57646000.0,105859000.0,-0.0496,8633880000.0,1387783000.0,4.3,19.6,1.0,2.73,2.48
271,272,MTD,Mettler-Toledo International Inc.,31065406170,1454.55,3785520000.0,1.14,33081962170.0,40.78,0,0,1041933000.0,777861000.0,35.67,1046079000.0,1168191000.0,1002599000.0,-118243000.0,-901035000.0,-18894000.0,189804000.0,2086747000.0,-0.017,3283117000.0,3441834000.0,3.2640094303830223,28.32,1.16,38.83,2.45
272,273,DVN,Devon Energy Corporation,30911120000,48.91,15031000000.0,0.62,36210120000.0,9.33,4.19%,-54.55%,4534000000.0,3348000000.0,5.24,4439000000.0,7100000000.0,6605000000.0,-3830000000.0,-2514000000.0,262000000.0,779000000.0,6448000000.0,-0.0344,24978000000.0,12637000000.0,2.54,5.1,2.19,0.95,2.51
273,274,GLW,Corning Incorporated,30709791150,35.85,12385000000.0,0.44,36712791150.0,49.79,3.12%,1.82%,847000000.0,614000000.0,0.72,1152000000.0,2517000000.0,2150000000.0,-956000000.0,-943000000.0,219000000.0,202000000.0,7368000000.0,0.0755,27618000000.0,16059000000.0,2.74,14.59,1.07,0.56,2.82
274,275,DFS,Discover Financial Services,30527970180,121.82,9915000000.0,0.07,36559970180.0,13.84,2.30%,12.00%,2973000000.0,2202000000.0,8.8,2895000000.0,3320000000.0,8615000000.0,-19904000000.0,15569000000.0,4280000000.0,693000000.0,20475000000.0,0.1273,152689000000.0,137969000000.0,2.07,11.01,1.43,2.1,1.54
275,276,RMD,ResMed Inc.,30434723190,207.17,4584159000.0,0.67,31364258190.0,31.82,0.93%,9.09%,1213944000.0,958378000.0,6.51,1238599000.0,1455252000.0,1198582000.0,-269798000.0,-914595000.0,10016000.0,225490000.0,1167445000.0,-0.32289999999999996,6814562000.0,2184642000.0,6.57,21.55,0.64,5.29,8.12
276,277,PPG,"PPG Industries, Inc.",30391200000,129.6,18177000000.0,0.83,36199200000.0,21.89,2.01%,4.84%,2125000000.0,1406000000.0,5.92,2137000000.0,2703000000.0,2266000000.0,-731000000.0,-1862000000.0,-245000000.0,488000000.0,7043000000.0,-0.13140000000000002,21867000000.0,13741000000.0,3.83,13.39,1.3,2.09,1.42
277,278,TSCO,Tractor Supply Company,30387326600,281.86,14651350000.0,1.59,35207663600.0,27.44,1.56%,9.23%,1497597000.0,1122305000.0,10.27,1497597000.0,1897706000.0,1571887000.0,-647641000.0,-850239000.0,74007000.0,329560000.0,5084422000.0,0.0809,9554954000.0,7430943000.0,14.31,18.55,0.82,5.27,7.52
278,279,CDW,CDW Corporation,30266429600,225.2,21145600000.0,1.62,35262429600.0,28.11,1.10%,7.93%,1653600000.0,1090300000.0,8.01,1650700000.0,1918000000.0,1673300000.0,-205100000.0,-943100000.0,524400000.0,340200000.0,5799800000.0,-0.027999999999999997,13192800000.0,11054100000.0,14.15,18.39,1.09,4.66,4.04
279,280,EXR,Extra Space Storage Inc.,30141171000,142.36,2856733000.0,0.12,41480588000.0,32.14,4.55%,-24.55%,1242427000.0,820006000.0,4.43,1315822000.0,1939889000.0,1586381000.0,-2013988000.0,432551000.0,4944000.0,23993000.0,11390233000.0,0.5054,27480120000.0,12191142000.0,2.11,21.38,0.77,3.24,3.63
280,281,ADM,Archer-Daniels-Midland Company,30106329820,60.89,91710000000.0,1.67,33183329820.0,10.65,3.29%,11.76%,3213000000.0,3042000000.0,5.72,4477000000.0,5557000000.0,6770000000.0,-2398000000.0,-5204000000.0,-842000000.0,769000000.0,11288000000.0,-0.0227,54831000000.0,31599000000.0,1.3,5.97,0.78,1.25,2.46
281,282,FSLR,"First Solar, Inc.",29988606560,280.16,3564424000.0,0.36,28618111560.0,29.37,0,0,1074390000.0,1024832000.0,9.54,1132563000.0,1462286000.0,904581000.0,-396192000.0,269864000.0,780105000.0,86304000.0,619602000.0,0.934,10760582000.0,3858068000.0,4.34,19.57,1.37,11.74,2.5
282,283,XEL,Xcel Energy Inc.,29860039860,53.74,13775000000.0,0.22,57978039860.0,16.14,4.08%,5.96%,2587000000.0,1841000000.0,3.33,2814000000.0,5318000000.0,4840000000.0,-6198000000.0,1745000000.0,387000000.0,-120000000.0,28619000000.0,0.099,65585000000.0,47744000000.0,1.67,10.9,0.37,0.96,2.18
283,284,WAB,Westinghouse Air Brake Technologies Corporation,29759677200,168.72,9980000000.0,0.53,33120677200.0,32.95,0.47%,15.63%,1402000000.0,918000000.0,5.12,1428000000.0,1906000000.0,1560000000.0,-479000000.0,-850000000.0,222000000.0,293000000.0,4000000000.0,-0.0394,18747000000.0,8243000000.0,2.84,17.38,1.36,2.58,1.51
284,285,HIG,"The Hartford Financial Services Group, Inc.",29673099150,100.33,25036000000.0,0.33,33714099150.0,11.43,1.87%,10.54%,3545000000.0,2701000000.0,8.78,3545000000.0,4053000000.0,4446000000.0,-2420000000.0,-1931000000.0,104000000.0,624000000.0,4363000000.0,0.0011,77710000000.0,62242000000.0,1.92,8.32,0.89,1.44,2.46
285,286,ROK,"Rockwell Automation, Inc.",29481175800,258.6,8979700000.0,0.79,33015375800.0,25.28,1.93%,5.79%,1302000000.0,1184500000.0,10.23,1599200000.0,1887400000.0,1273600000.0,-2500000.0,-1270500000.0,5700000.0,276800000.0,4004500000.0,-0.0567,11367300000.0,7645300000.0,8.32,17.49,1.44,6.72,3.04
286,287,VICI,VICI Properties Inc.,29480266800,28.26,3685822000.0,0.09,45706687800.0,11.17,5.87%,6.86%,3410923000.0,2584816000.0,2.53,3397728000.0,3403128000.0,2210475000.0,-1540387000.0,-451914000.0,217983000.0,-5666000.0,16711739000.0,0.0064,44157873000.0,18339315000.0,1.16,13.43,0.92,0.51,3.53
287,288,EFX,Equifax Inc.,29235237610,236.51,5352600000.0,0.44,34659537610.0,52.67,0.66%,0,952900000.0,557800000.0,4.49,969300000.0,1603500000.0,1218600000.0,-847500000.0,-394800000.0,-31500000.0,168000000.0,5625300000.0,-0.030600000000000002,12251300000.0,7539100000.0,6.41,21.61,1.54,6.59,3.01
288,289,ANSS,"ANSYS, Inc.",28641384000,328.08,2227107000.0,0.32,28420065000.0,65.75,0,0,541779000.0,434568000.0,4.99,561014000.0,720727000.0,739173000.0,-146088000.0,-45134000.0,542820000.0,77690000.0,849290000.0,-0.0169,7150414000.0,1740771000.0,5.29,39.43,1.16,5.72,3.94
289,290,EIX,Edison International,28525587420,74.14,16450000000.0,0.2,64186587420.0,32.66,4.21%,5.57%,2252000000.0,876000000.0,2.27,2730000000.0,5482000000.0,4534000000.0,-5204000000.0,1119000000.0,449000000.0,-18000000.0,36653000000.0,0.0579,83599000000.0,65984000000.0,1.88,11.71,0.95,1.1,3.13
290,291,DECK,Deckers Outdoor Corporation,27699581348,1079.14,4287763000.0,1.41,26464409348.0,37.01,0,0,927514000.0,759563000.0,29.16,981505000.0,1041167000.0,1033184000.0,-89331000.0,-417675000.0,520256000.0,219378000.0,266879000.0,0.0827,3135579000.0,1028111000.0,13.14,25.42,1.05,31.62,2.37
291,292,AVB,"AvalonBay Communities, Inc.",27335258500,192.25,2806059000.0,0.14,35045905500.0,28.61,3.54%,3.40%,858869000.0,955372000.0,6.72,1165880000.0,1990371000.0,1576816000.0,-927434000.0,-601896000.0,47486000.0,6571000.0,8134197000.0,-0.011000000000000001,20640897000.0,8925190000.0,2.33,17.61,0.91,3.05,2.54
292,293,TTWO,"Take-Two Interactive Software, Inc.",26871454150,156.79,5349600000.0,0.37,29281454150.0,8.027385814760327,0,0,-3590600000.0,-3744200000.0,-22.01,-3599200000.0,-1691000000.0,-16100000.0,-28200000.0,-91400000.0,-132600000.0,41400000.0,3534000000.0,0.013500000000000002,12216900000.0,6549000000.0,4.74,4.887315143997312,0.74,3.28,5.2
293,294,EBAY,eBay Inc.,26767400000,52.9,10158000000.0,0.48,26741400000.0,10.54,2.04%,10.64%,2014000000.0,2638000000.0,5.02,3835000000.0,4207000000.0,2200000000.0,-211000000.0,-1748000000.0,230000000.0,868000000.0,8087000000.0,-0.0036,21418000000.0,15145000000.0,4.27,6.36,1.31,1.14,3.25
294,295,CBRE,"CBRE Group, Inc.",26620050240,86.76,32472884000.0,1.46,31764050240.0,27.2,0,0,1246690000.0,995107000.0,3.19,1344656000.0,1963165000.0,732757000.0,-1465933000.0,584963000.0,-192940000.0,192964000.0,6271000000.0,0.30269999999999997,22964000000.0,13865000000.0,3.22,16.18,1.44,1.79,3.3
295,296,FTV,Fortive Corporation,26247282240,74.56,6129100000.0,0.37,29484382240.0,29.59,0.43%,10.71%,1132400000.0,899600000.0,2.52,1154400000.0,1635200000.0,1435900000.0,-1908000000.0,526300000.0,31800000.0,119400000.0,3941700000.0,0.2738,17520100000.0,7037000000.0,2.51,18.03,1.2,1.11,1.21
296,297,TROW,"T. Rowe Price Group, Inc.",25976489000,116.33,6673100000.0,0.53,23862089000.0,13.82,4.26%,1.65%,2055800000.0,1941000000.0,8.42,2599800000.0,2858400000.0,1344700000.0,177100000.0,-1202200000.0,317700000.0,658800000.0,302100000.0,-0.0673,12854000000.0,2187800000.0,2.65,8.35,1.41,2.02,5.69
297,298,GPN,Global Payments Inc.,25900217500,101.47,9782159000.0,0.2,41973564500.0,20.17,0.99%,0,1867070000.0,1310581000.0,5.03,2269734000.0,4165206000.0,2065532000.0,-302317000.0,-1633144000.0,89971000.0,259801000.0,18240963000.0,0.0022,51774750000.0,28788605000.0,1.17,10.08,0.97,2.46,4.67
298,299,WTW,Willis Towers Watson PLC,25623408680,250.63,9580000000.0,0.33,30380408680.0,25.34,1.40%,3.61%,1360000000.0,1042000000.0,9.89,1500000000.0,2098000000.0,1235000000.0,-1098000000.0,809000000.0,946000000.0,213000000.0,6650000000.0,0.2182,30237000000.0,20669000000.0,2.7,14.48,0.76,3.7,1.68
299,300,TRGP,Targa Resources Corp.,25610530670,115.51,16102200000.0,0.79,38556630670.0,23.77,1.95%,45.16%,2428900000.0,1104700000.0,4.86,2207900000.0,3553200000.0,2918200000.0,-2597900000.0,-422200000.0,-101900000.0,335500000.0,13056000000.0,0.07200000000000001,20846100000.0,16268500000.0,9.47,10.85,2.19,2.06,2.64
300,301,RJF,"Raymond James Financial, Inc.",25607000580,123.54,12091000000.0,0.15,16194000580.0,14.94,1.46%,10.63%,2310000000.0,1772000000.0,8.27,2310000000.0,2481000000.0,1180000000.0,-64000000.0,-818000000.0,346000000.0,533000000.0,4293000000.0,0.0692,81232000000.0,70253000000.0,2.33,6.53,1.05,2.08,3.43
301,302,CHD,"Church & Dwight Co., Inc.",25469515680,104.16,5941400000.0,0.69,27326615680.0,33.07,1.09%,3.97%,1070500000.0,780100000.0,3.15,1089800000.0,1317700000.0,1020500000.0,-251500000.0,-623000000.0,146900000.0,202600000.0,2206800000.0,-0.0876,8561500000.0,4460800000.0,6.21,20.74,0.51,1.43,4.91
302,303,DOV,Dover Corporation,25215656400,183.48,8453052000.0,0.75,28228159400.0,17.63,1.11%,0.99%,1345869000.0,1460475000.0,10.41,1916054000.0,2240330000.0,1261654000.0,-253223000.0,-342273000.0,657528000.0,322123000.0,3942457000.0,0.13419999999999999,11987033000.0,6834181000.0,4.89,12.6,1.25,2.8,2.96
303,304,WEC,"WEC Energy Group, Inc.",25177409560,79.72,8685100000.0,0.2,43729009560.0,17.37,4.19%,7.13%,2052100000.0,1446500000.0,4.59,2412600000.0,3704700000.0,3085900000.0,-2726500000.0,-371300000.0,-11900000.0,218200000.0,18590500000.0,0.0388,43927200000.0,31814500000.0,2.08,11.8,0.4,1.37,3.02
304,305,FITB,Fifth Third Bancorp,25090770600,36.68,8145000000.0,0.04,40851770600.0,11.64,3.82%,6.98%,2929000000.0,2158000000.0,3.15,2929000000.0,3402000000.0,3574000000.0,-7354000000.0,3796000000.0,16000000.0,618000000.0,18557000000.0,-0.0919,214506000000.0,195488000000.0,1.32,12.01,1.26,0.72,4.72
305,306,BRO,"Brown & Brown, Inc.",24982107420,87.58,4399200000.0,0.31,28453107420.0,26.95,0.59%,12.85%,1431200000.0,928000000.0,3.25,1407100000.0,1615800000.0,962700000.0,-631800000.0,-133100000.0,206400000.0,287800000.0,4062000000.0,-0.0134,14806000000.0,9019000000.0,4.32,17.61,0.8,1.24,2.09
306,307,KEYS,"Keysight Technologies, Inc.",24870738880,142.48,5342000000.0,0.61,25183738880.0,26.14,0,0,1257000000.0,969000000.0,5.45,1334000000.0,1561000000.0,1370000000.0,-739000000.0,-1096000000.0,-479000000.0,286000000.0,2058000000.0,0.0183,9060000000.0,4243000000.0,5.16,16.13,1.06,3.81,3.5
307,308,WDC,Western Digital Corporation,24861613500,76.14,11911000000.0,0.49,30735613500.0,7.426980409318633,0,0,-1183000000.0,-1618000000.0,-5.06,-1097000000.0,-482000000.0,-728000000.0,-111000000.0,525000000.0,-326000000.0,59000000.0,7768000000.0,0.0983,23801000000.0,12804000000.0,2.46,4.521770183500025,1.52,2.45,3.3
309,310,MTB,M&T Bank Corporation,24831212280,148.82,8772603000.0,0.04,7237212280.0,10.06,3.63%,5.00%,4213087000.0,2465481000.0,14.79,3251938000.0,3766397000.0,4085187000.0,-13208288000.0,9000605000.0,-122496000.0,786457000.0,16245000000.0,0.12359999999999999,215137000000.0,187968000000.0,0.91,1.92,0.77,2.77,2.93
310,311,DLTR,"Dollar Tree, Inc.",24636438660,113.02,30603800000.0,1.32,34266138660.0,7.3597132898554705,0,0,-881800000.0,-998400000.0,-4.55,-881900000.0,-40900000.0,2684500000.0,-2107600000.0,-530000000.0,45900000.0,9700000.0,10386900000.0,0.025699999999999997,22023500000.0,14710400000.0,3.37,4.480815927752047,0.92,2.87,2.62
311,312,AWK,"American Water Works Company, Inc.",24594455520,126.24,4307000000.0,0.14,37172455520.0,25.66,2.42%,8.04%,1845000000.0,959000000.0,4.92,2003000000.0,2723000000.0,1971000000.0,-2987000000.0,1400000000.0,384000000.0,575000000.0,13204000000.0,0.1702,31086000000.0,21079000000.0,2.46,13.65,0.62,2.26,2.42
312,313,EQR,Equity Residential,24496750080,64.64,2899694000.0,0.14,31820341080.0,26.82,4.18%,4.93%,891055000.0,914881000.0,2.41,1190711000.0,2102161000.0,1560550000.0,-317221000.0,-1265854000.0,-22525000.0,1154000.0,7520151000.0,-0.013999999999999999,19894797000.0,8322765000.0,2.21,15.14,0.83,1.05,2.27
313,314,NTAP,"NetApp, Inc.",24354549770,118.01,6181000000.0,0.66,23828549770.0,26.82,1.70%,0,1157000000.0,940000000.0,4.4,1197000000.0,1500000000.0,1307000000.0,-723000000.0,-1389000000.0,-820000000.0,257000000.0,2391000000.0,0.0013,9369000000.0,8375000000.0,24.5,15.89,1.26,1.94,3.39
314,315,IFF,International Flavors & Fragrances Inc.,24291540630,95.13,11351000000.0,0.35,34501540630.0,7.256680921822616,1.68%,-25.31%,-2043000000.0,-2498000000.0,-9.77,-2069000000.0,-925000000.0,1411000000.0,663000000.0,-1889000000.0,154000000.0,77000000.0,10949000000.0,-0.0768,30642000000.0,16316000000.0,1.7,4.418086707526582,1.22,2.05,3.29
